ds,y
2020-01-01,1517.3
2020-01-02,1528.94
2020-01-03,1551.65
2020-01-06,1565.96
2020-01-07,1573.99
2020-01-08,1555.81
2020-01-09,1552.37
2020-01-10,1562.28
2020-01-13,1548.3
2020-01-14,1546.37
2020-01-15,1556.19
2020-01-16,1552.79
2020-01-17,1556.61
2020-01-20,1561.58
2020-01-21,1558.02
2020-01-22,1558.91
2020-01-23,1563.33
2020-01-24,1570.65
2020-01-27,1581.95
2020-01-28,1566.24
2020-01-29,1577.12
2020-01-30,1574.22
2020-01-31,1590.2
2020-02-03,1576.45
2020-02-04,1552.55
2020-02-05,1556.7
2020-02-06,1566.85
2020-02-07,1570.29
2020-02-10,1572.3
2020-02-11,1567.72
2020-02-12,1565.63
2020-02-13,1576.39
2020-02-14,1584.7
2020-02-17,1581.1
2020-02-18,1601.91
2020-02-19,1611.64
2020-02-20,1619.7
2020-02-21,1643.7
2020-02-24,1660.72
2020-02-25,1635.38
2020-02-26,1639.96
2020-02-27,1642.35
2020-02-28,1585.12
2020-03-02,1590.73
2020-03-03,1639.77
2020-03-04,1635.83
2020-03-05,1670.61
2020-03-06,1674.23
2020-03-09,1680.2
2020-03-10,1649.36
2020-03-11,1635.03
2020-03-12,1577.09
2020-03-13,1529.7
2020-03-16,1514.61
2020-03-17,1528.58
2020-03-18,1486.3
2020-03-19,1471.0
2020-03-20,1498.24
2020-03-23,1553.81
2020-03-24,1622.03
2020-03-25,1613.79
2020-03-26,1632.38
2020-03-27,1623.5
2020-03-30,1623.3
2020-03-31,1571.31
2020-04-01,1595.05
2020-04-02,1613.79
2020-04-03,1618.45
2020-04-06,1663.0
2020-04-07,1648.95
2020-04-08,1646.52
2020-04-09,1684.07
2020-04-10,1689.9
2020-04-13,1714.32
2020-04-14,1729.7
2020-04-15,1716.6
2020-04-16,1718.4
2020-04-17,1684.69
2020-04-20,1694.12
2020-04-21,1687.02
2020-04-22,1714.82
2020-04-23,1731.59
2020-04-24,1729.43
2020-04-27,1715.57
2020-04-28,1708.63
2020-04-29,1712.38
2020-04-30,1685.05
2020-05-01,1700.41
2020-05-04,1701.69
2020-05-05,1707.17
2020-05-06,1685.88
2020-05-07,1717.94
2020-05-08,1702.65
2020-05-11,1697.35
2020-05-12,1702.72
2020-05-13,1715.99
2020-05-14,1730.65
2020-05-15,1743.0
2020-05-18,1732.32
2020-05-19,1745.11
2020-05-20,1749.5
2020-05-21,1726.34
2020-05-22,1736.07
2020-05-25,1729.57
2020-05-26,1712.45
2020-05-27,1709.25
2020-05-28,1719.4
2020-05-29,1728.3
2020-06-01,1740.34
2020-06-02,1727.97
2020-06-03,1698.63
2020-06-04,1711.84
2020-06-05,1685.83
2020-06-08,1695.47
2020-06-09,1714.57
2020-06-10,1737.1
2020-06-11,1727.51
2020-06-12,1730.8
2020-06-15,1725.53
2020-06-16,1727.46
2020-06-17,1727.04
2020-06-18,1722.99
2020-06-19,1743.62
2020-06-22,1755.44
2020-06-23,1767.54
2020-06-24,1762.43
2020-06-25,1761.82
2020-06-26,1771.47
2020-06-29,1772.28
2020-06-30,1781.66
2020-07-01,1770.32
2020-07-02,1776.13
2020-07-03,1775.05
2020-07-06,1783.9
2020-07-07,1795.26
2020-07-08,1810.78
